system:index,Delta_BSI,Delta_MNDWI,Delta_NDBI,Delta_NDVI,Delta_NDWI,.geo
1533,-0.16483696981120183,-0.09038754710195807,-0.09657038124563233,0.2062787166683251,-0.12383648026347194,"{""type"":""MultiPoint"",""coordinates"":[]}"
1536,-0.1627703295419911,-0.11026055839270998,-0.12009475072249803,0.12679976250883063,-0.12995487072643408,"{""type"":""MultiPoint"",""coordinates"":[]}"
1556,-0.015403065868167976,-0.10695685345236838,0.010426320471989492,0.03621214383609128,-0.05734427586252877,"{""type"":""MultiPoint"",""coordinates"":[]}"
1559,-0.044870214832994526,0.01985915732853294,-0.044267225421599665,0.015292330214231376,-0.015502589580742132,"{""type"":""MultiPoint"",""coordinates"":[]}"
1564,-0.05962043556122748,-0.06297014417406455,-0.03296612619314804,0.061483616201880364,-0.05913920454340382,"{""type"":""MultiPoint"",""coordinates"":[]}"
1565,-0.01966205483918404,-0.06717069785329721,4.8592126634378063E-4,0.030786829612418076,-0.04350742396308749,"{""type"":""MultiPoint"",""coordinates"":[]}"
1575,0.019537923037770077,0.009466495108452488,0.016897503776925782,-0.03792785629187412,0.01653846860927133,"{""type"":""MultiPoint"",""coordinates"":[]}"
1582,-0.03514834019300739,-0.09968661178588767,-0.007920059074334351,0.07593047204155512,-0.06827914529362311,"{""type"":""MultiPoint"",""coordinates"":[]}"
1602,-0.010201470348647379,-0.07565716624899549,0.013625231160955098,0.031226552714255007,-0.040196098800736824,"{""type"":""MultiPoint"",""coordinates"":[]}"
1638,-0.25069510915996174,-0.33105510722693393,-0.11862467896401852,0.3445309066660637,-0.288834243392755,"{""type"":""MultiPoint"",""coordinates"":[]}"
1686,-0.05622428747282271,-0.08487508085401213,-0.023327197137359867,0.07281636865164332,-0.06232951114804852,"{""type"":""MultiPoint"",""coordinates"":[]}"
1688,-0.11843862313489639,0.07324228638313568,-0.09226777618276044,0.07063581979857614,-0.013667730095432096,"{""type"":""MultiPoint"",""coordinates"":[]}"
1698,0.097862890058735,-0.0025167850963160876,0.09135213414397092,-0.05990170117484983,0.051425093768629804,"{""type"":""MultiPoint"",""coordinates"":[]}"
1704,-0.017929598267075297,-0.0769522175883009,-0.001094461224242116,0.03796405204664288,-0.04746028719225448,"{""type"":""MultiPoint"",""coordinates"":[]}"
1705,-0.0096354289752138,-0.08706240418186606,0.021075423809969518,0.03158412669401922,-0.04502727595490574,"{""type"":""MultiPoint"",""coordinates"":[]}"
